event_a,event_b,correlation,mean_abs_delta_db
1782605969288_blow_normal_event2_peak3.548s,1782608453936_failed_blow_event1_peak2.174s,0.233837,25.687636
1782605969288_blow_normal_event2_peak3.548s,1782608453936_failed_blow_event2_peak4.632s,0.759537,10.514533
1782605969288_blow_normal_event2_peak3.548s,1782608460487_failed_blow_event1_peak3.184s,0.291989,17.444592
1782605969288_blow_normal_event2_peak3.548s,1782608460487_failed_blow_event2_peak5.372s,0.399377,14.389083
1782605969288_blow_normal_event2_peak3.548s,1782608460487_failed_blow_event3_peak7.802s,0.561805,18.449085
1782605969288_blow_normal_event2_peak3.548s,1782608469432_failed_blow_event1_peak1.335s,0.462915,13.887756
1782605969288_blow_normal_event2_peak3.548s,1782608469432_failed_blow_event2_peak3.676s,0.122068,18.769560
1782605969288_blow_normal_event2_peak3.548s,1782608469432_failed_blow_event3_peak6.212s,-0.629215,22.116022
1782605969288_blow_normal_event2_peak3.548s,1782608469432_failed_blow_event4_peak8.373s,-0.108210,18.167055
1782605969288_blow_normal_event2_peak3.548s,1782608469432_failed_blow_event5_peak9.854s,-0.455255,20.184231
1782605969288_blow_normal_event2_peak3.548s,1782608469432_failed_blow_event6_peak11.059s,-0.224449,19.029727
1782605969288_blow_normal_event2_peak3.548s,1782608144876_failed_blow_event1_peak1.226s,0.540044,13.082108
1782605969288_blow_normal_event2_peak3.548s,1782608147589_failed_blow_event1_peak1.373s,0.202670,15.530179
1782605969288_blow_normal_event2_peak3.548s,1782608150662_failed_blow_event1_peak1.433s,0.619745,13.178896
1782605969288_blow_normal_event2_peak3.548s,1782608150662_failed_blow_event2_peak2.805s,0.681530,11.052500
1782605969288_blow_normal_event2_peak3.548s,1782608150662_failed_blow_event3_peak4.547s,0.502400,13.030249
1782605969288_blow_normal_event2_peak3.548s,1782608150662_failed_blow_event4_peak7.191s,-0.743108,26.556117
1782605969288_blow_normal_event2_peak3.548s,1782608160173_failed_blow_event1_peak1.211s,-0.135781,19.684043
1782605969288_blow_normal_event2_peak3.548s,1782608163117_failed_blow_event1_peak2.418s,-0.368413,20.589971
1782605969288_blow_normal_event2_peak3.548s,1782608163117_failed_blow_event2_peak3.891s,-0.589220,21.929455
1782605969288_blow_normal_event2_peak3.548s,1782608163117_failed_blow_event3_peak5.526s,0.223498,19.898460
1782605969288_blow_normal_event2_peak3.548s,1782608178054_failed_blow_event1_peak4.359s,0.100818,22.052979
1782605969288_blow_normal_event2_peak3.548s,1782608178054_failed_blow_event2_peak5.668s,-0.010305,20.148111
1782605969288_blow_normal_event2_peak3.548s,1782608187004_failed_blow_event1_peak1.100s,0.261596,18.009287
1782605969288_blow_normal_event2_peak3.548s,1782608187004_failed_blow_event2_peak1.558s,0.369320,16.310505
1782605969288_blow_normal_event2_peak3.548s,1782608187004_failed_blow_event3_peak2.068s,-0.129062,21.845559
1782605969288_blow_normal_event2_peak3.548s,1782608187004_failed_blow_event4_peak2.942s,0.146081,19.002771
1782605969288_blow_normal_event2_peak3.548s,1782608191941_failed_blow_event1_peak9.470s,0.876792,16.222381
1782605969288_blow_normal_event2_peak3.548s,1782608203595_failed_blow_event1_peak0.995s,-0.536192,20.828770
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event1_peak0.879s,0.161764,16.372246
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event2_peak2.243s,0.172425,15.555198
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event3_peak3.127s,0.916186,10.751233
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event4_peak3.438s,0.361459,15.268637
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event5_peak4.624s,0.387413,15.610878
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event6_peak5.691s,0.627980,11.948293
